pmid,Year,Hypothesis,Phase,Outcome,plan.con.median,plan.con.perc.surv,plan.con.time,plan.int.median,plan.int.perc.surv,plan.int.time,plan.hr,est.hr,Type1,Sided,Type2,accural,followup,ss,ss-achieved,final.con.median,final.con.perc.surv,final.con.time,final.int.median,final.int.perc.surv,final.int.time,final.hr,est.final.hr,glioma,glioma2,glioma3,diagnosis,occur,mgmt,age,age2,Difference,% difference,Difference >2,ss difference reason ,reason
6164465,1981,Superiority,II/III,OS,,,,,,,,,,N/A,,40,,,118,5.2,,,10.8,,,0.481481481,0.481481481,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
6164465,1981,Superiority,II/III,OS,,,,,,,,,,N/A,,40,,,118,10.8,,,10.8,,,1,1,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
6349785,1983,Superiority,3,OS,,,,,,,,,,N/A,,54,,,554,9.9,,,8.4,,,1.178571429,1.178571429,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adult only,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
6349785,1983,Superiority,3,OS,,,,,,,,,,N/A,,54,,,554,9.9,,,10,,,0.99,0.99,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adult only,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
6349785,1983,Superiority,3,OS,,,,,,,,,,N/A,,54,,,554,9.9,,,9.8,,,1.010204082,1.010204082,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adult only,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
7001230,1980,Superiority,3,OS,,,,,,,,,,N/A,,40,,,358,5.52328,7.5,24,8.28492,9.7,24,0.662650602,0.662650602,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
7001230,1980,Superiority,3,OS,,,,,,,,,,N/A,,40,,,358,5.52328,7.5,24,11.737,15.2,24,0.47008547,0.47008547,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
7001230,1980,Superiority,3,OS,,,,,,,,,,N/A,,40,,,358,5.52328,7.5,24,9.66574,12.2,24,0.567010309,0.567010309,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
7017081,1981,Superiority,2,OS,,,,,,,,,,N/A,,,,,116,14.1,,,13.3,,,1.060150376,1.060150376,New high grade gliomas,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
7799011,1995,Superiority,3,PFS,,,,,,,0.458,,10,Two,80,62,48,120,172,14,26,60,14,33,60,,,new high-grade astrocytoma/glioblastoma,New HGG,HGG,Diffuse Glioma,New,,Pediatric,Pediatric,52,43.33333333,Over-accrued,"enrollment was extended beyond the original target. The final sample size provided 90% power (_ = 0.05, two-sided) to detect a 20% absolute improvement in 2-year progression-free survival (from 40% to 60%).??",Met target
8018525,1994,Superiority,2,OS,,,,,,,,,,N/A,,36,,,31,12,,,9.4,,,1.27,,new glioblastoma,New HGG,HGG,Diffuse Glioma,New,,all,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
8058153,1994,Superiority,3,OS,10,,,15,,,0.67,,5,Two,80,36,36,246,255,10.4,,,13,,,,,New high grade gliomas,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,9,3.658536585,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
8289094,1993,Non-inferiority,3,OS,,,,,,,,,5,N/A,,68,,,108,,22,24,,18,24,1.132532211,1.132532211,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
8289094,1993,Non-inferiority,3,OS,,,,,,,,,5,N/A,,68,,,108,,10,24,,23,24,0.638272164,0.638272164,New glioblastoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
8315428,1993,Superiority,3,OS,,,,,,,,,,Two,,39,36.2,,334,11.9,30,18,11.8,25,18,1.01,,new high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
8418246,1993,Superiority,3,PFS,,,,,,,,,,N/A,,60,,,249,6.5,,,5.67,,,1.16,,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
8570130,1996,Superiority,2,OS,,,,,,,,,,N/A,,,,,30,,6,12,,43,12,0.29998111,0.29998111,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
8598355,1996,Superiority,3,OS,,,,,,,,,5,Two,,37,33.5,,327,10.8,20,24,10.7,21,24,1,,new high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
8598355,1996,Superiority,3,OS,,,,,,,,,5,Two,,37,33.5,,327,11.5,20,24,9.4,24,24,1.22,,new high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
9112443,1997,Superiority,3,OS,6.5,,,13,,,0.5,0.5,5,Two,80,72,54,82,81,10,,,10,,,1,,new astrocytoma (high grade),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,-1,-1.219512195,NO,N/R,Met target
9195495,1997,Superiority,3,OS,,,,,,,,,,Two,,61,,,238,10.25,25,18,10.25,17,18,1,,new astrocytoma (high grade),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
9218294,1997,Superiority,2,OS,,,,,,,,,,N/A,,12,24,100,32,9.9,,,14.5,,,0.269,,new high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adult only,,-68,-68,Under-enrolled,Premature termination due to manufacturing issues: the drug manufacturer could no longer supply Gliadel wafers.,Resource withdrawal / slow accrual
9457811,1998,Superiority,II/III,OS,,,,,,,0.5,,,One,90,60,29.25,74,79,17.49,,,19.56,,,0.6,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,5,6.756756757,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
9719109,1998,Superiority,3,OS,,,,,,,,,5,N/A,,120,,,140,13.2,,,13.8,,,0.956521739,0.956521739,new astrocytoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
9839623,1998,Superiority,2,OS,,,,,,,,,,N/A,,36,,,43,8.7,,,9.5,,,0.92,,new astrocytoma,New HGG,HGG,Diffuse Glioma,New,,all,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
10192340,1999,Superiority,3,OS,,,,,,,,,,N/A,,45,65,,130,8.5,30.9,12,8,27,12,1.06,,new brainstem tumors,New DIPG,DIPG,Diffuse Glioma,New,,Pediatric,Pediatric,Missing cal ss,Missing cal ss,Missing,N/R,Met target
10192340,1999,Superiority,3,PFS,,,,,,,,,,N/A,,45,65,,130,6,,,5,,,1.2,1.2,new brainstem tumors,New DIPG,DIPG,Diffuse Glioma,New,,Pediatric,Pediatric,Missing cal ss,Missing cal ss,Missing,N/R,Met target
10928154,2000,Superiority,3,OS,,,,,,,,,,N/A,,23,50,,38,17.32,,,21.71,,,0.8,,new high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
10928154,2000,Superiority,3,PFS,,,,,,,,,,N/A,,23,50,,38,14.76,,,14.41,,,1.024288688,1.024288688,new high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
10944597,2000,Superiority,2,PFS,,10,6,,20,6,0.698970004,0.698970004,5,N/A,,27,6,200,225,1.9147,8,6,2.8536,21,6,0.670977011,0.670977011,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,25,12.5,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
11051233,2000,Superiority,3,OS,,11.5068,,,17.2603,,0.666662804,0.666662804,5,One,80,65,48,237,272,14.2,8.7,60,13.3,6.2,60,1,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,35,14.76793249,Over-accrued,because the target size was increased,Met target
11096443,2000,Superiority,3,PFS,,,,,,,0.67,,5,Two,80,21,6,246,248,6.1,,,6,,,1.016666667,1.016666667,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,2,0.81300813,NO,because of slow accrual.,Met target
11131988,2000,Superiority,3,OS,,10,60,,15,60,0.823908741,0.823908741,5,N/A,80,60,24,194,82,14,,,14.75,,,0.95,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-112,-57.73195876,Under-enrolled,"The trial was terminated prematurely: after interim analysis showed significantly worse progression-free survival in the intra-arterial ACNU group. Due to lack of added survival benefit and potential safety concerns, further patient enrollment was deemed unethical.",Interim / ethical / early events
11163499,2001,Superiority,3,OS,13.8,,,22.5,,,0.67,,5,One,80,48,24,208,231,9.25,7,24,9.75,5,24,1.1,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,23,11.05769231,Over-accrued,Higher than expected accrual rate over the study period.,Met target
11163499,2001,Superiority,3,OS,13.8,,,22.5,,,0.67,,5,One,80,48,24,208,231,9.25,7,24,10.5,7,24,0.88,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,23,11.05769231,Over-accrued,Higher than expected accrual rate over the study period.,Met target
11163499,2001,Superiority,3,OS,13.8,,,22.5,,,0.67,,5,One,80,48,24,208,231,9.25,7,24,11,11,24,0.93,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,23,11.05769231,Over-accrued,Higher than expected accrual rate over the study period.,Met target
11208845,2001,Superiority,3,OS,,15,24,,25,24,0.730736259,0.730736259,5,Two,90,101,36,600,674,9.5,,,10,,,0.95,,new astrocytoma (high grade),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,74,12.33333333,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
11466698,2001,Superiority,3,OS,11.507,,,16.1096,,,0.714294582,0.714294582,5,One,80,48,24,270,275,11.737,,,9.863,,,1.19,1.19,new high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,5,1.851851852,Over-accrued,Not Significant/Not justified,Met target
11872276,2002,Superiority,3,OS,,60,60,,75,60,0.563170795,0.563170795,5,Two,80,144,60,300,290,,66,60,,63,60,1.111957368,1.111957368,New low-grade glioma,New LGG,LGG,Diffuse Glioma,New,,Adults and elderly,,-10,-3.333333333,Under-enrolled,21 patients (6.7%) were ineligible or unassessable because of missing data (19 patients) and protocol ineligibility (2 patients),Post-randomization exclusion
11995818,2002,Superiority,2,OS,,,,,,,,,,N/A,,35,,,40,7.3644,,,8.9753,,,0.820518534,0.820518534,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
11995818,2002,Superiority,2,OS,,,,,,,,,,N/A,,35,,,40,7.3644,,,11.0466,,,0.666666667,0.666666667,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
11995818,2002,Superiority,2,OS,,,,,,,,,,N/A,,35,,,40,7.3644,,,16.5698,,,0.444447127,0.444447127,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
12522677,2002,Superiority,2,OS,,,,,,,,,,N/A,,17,,,29,18.6,,,18.3,,,1.016393443,1.016393443,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
12522677,2002,Superiority,2,PFS,,,,,,,,,,N/A,,17,,,29,5.8,,,5.2,,,1.115384615,1.115384615,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
12631596,2003,Superiority,3,PFS,36.2,,,54.5,,,0.664220183,0.664220183,5,One,80,92.4,24,303,249,34.1,,,56.2,,,0.606761566,0.606761566,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,Adults and elderly,,-54,-17.82178218,Under-enrolled,"Decreasing accrual: (0.6 patients/week vs. the anticipated 1.5/week), revised design parameters were adopted in 1996 to cap accrual at 249 over a maximum of 7.7 years, extending study duration to 10.4 years.",Resource withdrawal / slow accrual
12672279,2003,Superiority,3,OS,,50,12,,68,12,0.556393349,0.556393349,5,Two,90,18,12,,240,11.6,49.6,12,13.9,59.2,12,0.71,,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
12672281,2003,Superiority,2,PFS,1.8,,,3.7,,,0.5,,5,Two,80,12,6,80,122,1.84,,,2.23,,,0.825112108,0.825112108,recurrent high grade glioma,Recurrent HGG,HGG,Diffuse Glioma,Recurrent,,Adults and elderly,,42,52.5,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
12697871,2003,Superiority,3,OS,8.5,,,14,,,0.607142857,0.607142857,5,Two,84,38,39.6,220,219,11.2,45,12,11,44,12,0.89,,new glioblastoma (supratentorial),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-1,-0.454545455,NO,N/R,Met target
12885448,2003,Superiority,2,OS,,,,,,,,,,N/A,,72,,,68,10.3,,,8.7,,,1.47,,new glioblastoma/anaplastic astrocytoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
12947063,2003,Superiority,3,OS,,,,,,,0.769230769,,5,N/A,80,72,,420,362,19.1,25,36,17.6,24,36,1.085227273,1.085227273,new glioblastoma/anaplastic astrocytoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,-58,-13.80952381,Under-enrolled,"The trial was terminated prematurely: in 2000 with 86% of the target for high KPS arms accrued, due to futility in reaching primary endpoint and ethical/clinical equipoise.",Interim / ethical / early events
14742935,2003,Superiority,2,OS,,,,,,,,,,N/A,,18,,,50,,50.72,6,,66.67,6,0.597208785,0.597208785,new high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
14742935,2003,Superiority,2,PFS,,,,,,,,,,N/A,,18,,,50,,26,6,,44,6,0.609454838,0.609454838,new high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
15001257,2004,Superiority,3,OS,36.8,,,55.2,,,0.666666667,0.666666667,5,One,85,72,36,293,191,49.2,61,48,54,64,48,0.911111111,0.911111111,new anaplastic astrocytoma,New AA,AA,Diffuse Glioma,New,,Adults and elderly,,-102,-34.81228669,Under-enrolled,"Post-randomization exclusions:  (central pathology reclassified tumors as glioblastoma, treatment at non-approved centers, prior therapy, or missing/incomplete data). RTOG Data Monitoring Committee recommended suspension of enrollment in July 1996 and closure",Post-randomization exclusion
15051755,2004,Equivalence,3,OS,,50,6,,35,6,1.514573173,1.514573173,10,One,80,60,24,224,95,5.1,44.7,6,5.6,41.7,6,0.89,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Elderly,Elderly ,-129,-57.58928571,Under-enrolled,The trial was terminated prematurely: after interim analysis showed that proving equivalence in survival between arms would require a prohibitively large sample size due to small observed differences.,Interim / ethical / early events
15465203,2004,Superiority,3,OS,12.5,,,18.75,,,0.666666667,0.666666667,5,One,80,76,61,200,186,13.6,19,24,13.5,21,24,1.007407407,1.007407407,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-14,-7,Under-enrolled,"Post-randomization exclusions: patients were excluded after randomization due to ineligibility, consent withdrawal, or tumor size >40 mm.",Post-randomization exclusion
15509514,2004,Superiority,2,PFS,,,,,,,,,,N/A,,44,,60,36,8.676,,,14.361,,,0.604136202,0.604136202,primary or recurrent high grade glioma,New or Recur HGG,HGG,Diffuse Glioma,New or Recur,,Adults and elderly,,-24,-40,Under-enrolled,The trial was terminated prematurely:after an interim analysis showed a statistically significant survival benefit with AdvHSV-tk treatment.,Interim / ethical / early events
15670372,2005,Superiority,2,OS,,,,,,,,,,N/A,,,,,77,13.5,,,15.2,,,0.888157895,0.888157895,new high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
15670372,2005,Superiority,2,PFS,,,,,,,,,,N/A,,,,,77,6.3,,,6.5,,,0.969230769,0.969230769,new high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
15670372,2005,Superiority,2,PFS,,,,,,,,,,N/A,,,,,77,6.3,,,6.5,,,0.969230769,0.969230769,new high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
15727424,2003,Superiority,2,OS,,,,,,,,,,N/A,,24,35,,18,13,,,23,,,0.565217391,0.565217391,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adult only,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
15758009,2005,Superiority,3,OS,,,,,,,0.75,,5,Two,80,17,28,572,573,12.1,10.4,24,14.6,26.5,24,0.63,,new glioblastoma ,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,1,0.174825175,NO,N/R,Met target
15800329,2005,Superiority,2,OS,,,,,,,,,,N/A,,35,11.2,,130,7.7,,,13.41,,,0.66,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
15800329,2005,Superiority,2,PFS,,,,,,,,,,N/A,,35,11.2,,130,5.2,,,10.8,,,0.481481481,0.481481481,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
16520474,2006,Superiority,2,OS,,,,,,,,,5,N/A,,40,15,30,30,11,,,24,,,0.52,0.52,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adult only,,0,0,NO,N/R,Met target
16598426,2006,Superiority,3,OS,,,,,,,,,5,N/A,,,79.2,,46,10.6,47,12,17.3,52,12,0.61,,new astrocytoma (high grade),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
16598426,2006,Superiority,3,OS,,,,,,,,,5,N/A,,,79.2,,76,12.3,52,12,10.3,39,12,1.19,,new astrocytoma (high grade),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
16636750,2006,Superiority,2,OS,,10,18,,25.8,18,0.588380294,0.588380294,5,Two,80,37,18,150,162,8.7,,,9.9,,,1.16,,new glioblastoma/gliosarcoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,12,8,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
16648043,2006,Superiority,3,PFS,,25,6,,40,6,0.660964047,0.660964047,5,Two,80,58,18,350,270,3.6,,,5.1,,,0.73,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-80,-22.85714286,Under-enrolled,"The trial was terminated prematurely: after demonstrating significant benefit in the primary endpoint (complete resection), making further recruitment unnecessary.",Interim / ethical / early events
16782910,2006,Superiority,3,OS,45.6,,,68.4,,,0.67,,5,One,80,92,36,292,289,56.4,46,60,58.8,49,60,0.9,,new anaplastic oligodendoglioma/oligoastrocytoma,New 1p/19q-codel,1p/19q-codel,Diffuse Glioma,New,,Adults and elderly,,-3,-1.02739726,Under-enrolled,Not Significant/Not justified,No reason
16921039,2006,Superiority,3,OS,,,,,,,,,5,Two,80,54,,404,451,10.4,12.9,24,11.9,17.9,24,0.87,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,47,11.63366337,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
16921039,2006,Equivalence,3,OS,,,,,,,,,5,Two,80,54,,404,451,11.2,17.6,24,10.7,13.2,24,1.02,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,47,11.63366337,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
16943538,2006,Superiority,3,PFS,,70,60,,85,60,0.455649976,0.455649976,,Two,79,48,60,300,379,,82,60,,80,60,1.124426787,1.124426787,nondisseminated medulloblastoma,New MB,MB,MB,New,,Pediatric,Pediatric,79,26.33333333,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
17429084,2007,Superiority,2,OS,3.7,,,7.4,,,0.5,,5,Two,80,47,12,100,85,4.2,,,7.3,,,0.47,,new glioblastoma/anaplastic astrocytoma,New HGG,HGG,Diffuse Glioma,New,,Elderly,Elderly ,-15,-15,Under-enrolled,"Trial was stopped after patient #85 was included, when the log-rank statistic crossed the efficacy boundary (radiotherapy significantly better than supportive care).",Interim / ethical / early events
17926079,2008,Superiority,3,OS,,,,,,,,,5,N/A,,,,,27,6.15,,,13.2,,,0.47,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
